"City Name","Zone Name","Ward Name","Ward No","No. of Public Primary Schools","No. of Public Secondary Schools","No. of Public Higher Secondary Schools","No. of kindergartens","No of Schools for Specially Abled (Blind / Deaf / Autistic) ","No. of Graduation Colleges","No. of Post Graduation Colleges","No. of Public Toilets","No. of Dispensaries / Primary Hospitals","No. of Public Hospitals","No. of Libraries","No. of Community Centers","No. of Parks and Gardens","No. of Aadhar Enrollment centers","No. of Licensed Hawkers"
"Pune","Zone 2","Aundh-Baner","4","56","18","10","NA","NA","1","NA","38","1","7","7","NA","12","NA","896"
"Pune","Zone 5","Bhawani Peth","14","74","20","4","NA","NA","1","NA","70","6","17","1","NA","6","NA","1031"
"Pune","Zone 5","Bibwewadi","15","54","17","6","NA","NA","3","NA","23","3","19","3","NA","16","NA","1147"
"Pune","Zone 3","Dhankawadi-Sahakarnagar","7","60","25","10","NA","NA","3","NA","41","1","13","1","NA","19","NA","2948"
"Pune","Zone 1","Dhole Patil","3","62","22","9","NA","NA","4","NA","22","2","10","0","NA","12","NA","2324"
"Pune","Zone 4","Hadapsar-Mundhawa","10","67","21","10","NA","NA","0","NA","23","0","19","3","NA","12","NA","1497"
"Pune","Zone 5","Kasba-Vishrambagwada","13","109","44","23","NA","NA","4","NA","63","6","84","8","NA","20","NA","2988"
"Pune","Zone 4","Kondhwa-Yewalewadi","12","43","20","6","NA","NA","2","NA","2","0","3","1","NA","10","NA","332"
"Pune","Zone 2","Kothrud-Bawdhan","6","48","20","4","NA","NA","0","NA","32","1","14","5","NA","12","NA","1098"
"Pune","Zone 1","Nagar Road-Wadgaonsheri","1","93","39","11","NA","NA","3","NA","15","4","9","5","NA","12","NA","1127"
"Pune","Zone 2","Shivajinagar-Ghole Road","5","69","28","8","NA","NA","1","NA","98","1","40","8","NA","17","NA","2112"
"Pune","Zone 3","Sinhagad Road","8","50","17","5","NA","NA","3","NA","24","0","13","3","NA","11","NA","1368"
"Pune","Zone 4","Wanawadi-Ramtekdi","11","62","18","4","NA","NA","0","NA","19","1","8","0","NA","10","NA","393"
"Pune","Zone 3","Warje-Karvenagar","9","65","21","4","NA","NA","0","NA","20","5","21","7","NA","14","NA","1022"
"Pune","Zone 1","Yerwada-Kalas-Dhanori","2","95","31","10","NA","NA","6","NA","49","2","5","0","NA","20","NA","1419"
