"City Name","Zone Name","Ward Name","Number of Poles","No. of poles of LED Bulbs","No. of poles with conventional / non LED Lights","Total length of roads (in km)","Number of street lights / poles per km of road","Total no. of streets","No. of streets with adequate street lighting facilties"
"Pune","Zone 1","Nagar Road","8138","8057","81","146","55","NA","NA"
"Pune","Zone 1","Dhole Patil","5389","5335","54","97","55","NA","NA"
"Pune","Zone 1","Yewada","7462","7387","75","134","55","NA","NA"
"Pune","Zone 2","Aundh","5539","5484","55","100","55","NA","NA"
"Pune","Zone 2","Ghole Road","6125","6064","61","110","55","NA","NA"
"Pune","Zone 2","Kotharud Bawadhan","4897","4848","49","88","55","NA","NA"
"Pune","Zone 3","Dhankawadi ","7464","7389","75","134","55","NA","NA"
"Pune","Zone 3","Sihagad Road","4588","4542","46","83","55","NA","NA"
"Pune","Zone 3","Warje Karveroad","6549","6484","65","118","55","NA","NA"
"Pune","Zone 4","Hadapsar","6694","6627","67","120","55","NA","NA"
"Pune","Zone 4","Wanvadi Ramtekadi","6177","6115","62","111","55","NA","NA"
"Pune","Zone 4","Kondhawa Yewalewadi","1834","1816","18","33","55","NA","NA"
"Pune","Zone 5","Kasba Vishrambaugh","4112","4071","41","74","55","NA","NA"
"Pune","Zone 5","Bhawani Peth","2562","2536","26","46","55","NA","NA"
