|-----------|------------------------------------------------|---------------------------|---------|---------------------------------------------------------------------------------------------------------------------------------|------------------------|--------------------------------------|------------------------------------------------------------|-------------------------------------|----------------------------------------------------------|--------------------------|-----------------------------------------|-------------------------------|----------------------------------------------|----------------------------------------|
| City Name | Zone Name                                      | Ward Name                 | Ward No | Name and Address                                                                                                                | Staff Count - Deployed | Total No. Citizen Services available | Facilities for Specially Abled Person available [Yes / No] | Drinking Water available [Yes / No] | Digital Payments Modes and Channels available [Yes / No] | Average Monthly Footfall | Self Service Kiosk Available [Yes / No] | Wi-Fi Availability [Yes / No] | Queue Management System available [Yes / No] | HelpDesk Services available [Yes / No] |
|-----------|------------------------------------------------|---------------------------|---------|---------------------------------------------------------------------------------------------------------------------------------|------------------------|--------------------------------------|------------------------------------------------------------|-------------------------------------|----------------------------------------------------------|--------------------------|-----------------------------------------|-------------------------------|----------------------------------------------|----------------------------------------|
| PUNE      | Zone-1 Aundh-Pashan-Bopodi-Balewadi-Baner Zone | AUNDH                     | NA      |                                                                                                                                 |                      3 |                                    6 | Yes                                                        | NO                                  | YES                                                      |                     2633 | NO                                      | Yes                           | YES                                          | NO                                     |
|-----------|------------------------------------------------|---------------------------|---------|---------------------------------------------------------------------------------------------------------------------------------|------------------------|--------------------------------------|------------------------------------------------------------|-------------------------------------|----------------------------------------------------------|--------------------------|-----------------------------------------|-------------------------------|----------------------------------------------|----------------------------------------|
| PUNE      | ZONE 1 BAVDHAN-BALEWADI-Baner                  | BANER                     | NA      | Baner, Baner Gaonthan near Vitthal Mandir Baner Pune 411045                                                                     |                      1 |                                    1 | Yes                                                        | NO                                  | YES                                                      |                      719 | NO                                      | Yes                           | YES                                          | NO                                     |
|-----------|------------------------------------------------|---------------------------|---------|---------------------------------------------------------------------------------------------------------------------------------|------------------------|--------------------------------------|------------------------------------------------------------|-------------------------------------|----------------------------------------------------------|--------------------------|-----------------------------------------|-------------------------------|----------------------------------------------|----------------------------------------|
| PUNE      | Zone-1 BavdhanKhurd-Aundh-Baner Zone           | BAVDHAN                   | NA      | Bavdhan Khurd nagri suvidha kendra, gavthan, hotel D Palace lane, near old vittal mandir, bavdhan khurd, pune 411021            |                      1 |                                    6 | Yes                                                        | NO                                  | YES                                                      |                       10 | NO                                      | NO                            | NO                                           | NO                                     |
|-----------|------------------------------------------------|---------------------------|---------|---------------------------------------------------------------------------------------------------------------------------------|------------------------|--------------------------------------|------------------------------------------------------------|-------------------------------------|----------------------------------------------------------|--------------------------|-----------------------------------------|-------------------------------|----------------------------------------------|----------------------------------------|
| PUNE      | Zone-1 Hingne                                  | HINGNE                    | NA      | Hingne, Near Rokdoba Mandir Hingne Khurd Sinhgad Road Pune 411041                                                               |                      2 |                                    2 | Yes                                                        | NO                                  | YES                                                      |                      594 | NO                                      | NO                            | YES                                          | NO                                     |
|-----------|------------------------------------------------|---------------------------|---------|---------------------------------------------------------------------------------------------------------------------------------|------------------------|--------------------------------------|------------------------------------------------------------|-------------------------------------|----------------------------------------------------------|--------------------------|-----------------------------------------|-------------------------------|----------------------------------------------|----------------------------------------|
