|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| cityName | Ward No | Ward Name                | Name of healthcare facility                                                      | Type of facility         | Latitude   | Longitude   |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |       6 | Kothrud-Bawdhan          | Jog Hospital                                                                     | private hospital         | 18.5091699 | 73.82159066 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |       6 | Kothrud-Bawdhan          | Parivartan Ayurved Hospital                                                      | private hospital         | 18.5132423 | 73.80802103 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |       6 | Kothrud-Bawdhan          | Devyani Multy Speciality Hospital                                                | private hospital         | 18.4949895 | 73.81212228 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |       6 | Kothrud-Bawdhan          | Suyash Hospityal                                                                 | private hospital         | 18.5000925 | 73.81233642 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |       6 | Kothrud-Bawdhan          | Devyani Hospital Surguri Maternity & General Nursing Home                        | private hospital         | 18.4959252 | 73.81222704 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |       6 | Kothrud-Bawdhan          | Krishna Hospital                                                                 | private hospital         | 18.5092184 | 73.81268003 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |       6 | Kothrud-Bawdhan          | Bakshi Hospital                                                                  | private hospital         | 18.5077479 | 73.80542197 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |       6 | Kothrud-Bawdhan          | Sahyadri Hospital, Kothrud                                                       | private hospital         | 18.5074423 | 73.80575713 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |       6 | Kothrud-Bawdhan          | Devyani Multy Speciality Hospital                                                | private hospital         | 18.4959176 | 73.81243305 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |       6 | Kothrud-Bawdhan          | Vision Eye Center                                                                | private hospital         | 18.5075957 | 73.80689646 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |       6 | Kothrud-Bawdhan          | Sarpotdar Eye Hospital                                                           | private hospital         |  18.510586 | 73.81989926 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |       6 | Kothrud-Bawdhan          | Kulkarni Endo Surgery  Institute & Re-Effective Urologist Center                 | private hospital         | 18.5097874 | 73.80298726 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |       4 | Aundh-Baner              | Renu Hospital                                                                    | private hospital         | 18.5719383 | 73.83759855 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |       4 | Aundh-Baner              | Kotbagi  Hospital Pvt. Ltd.                                                      | private hospital         | 18.5619453 |  73.8048489 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |      15 | Bibwewadi                | Anand Hospital                                                                   | private hospital         | 18.4713277 | 73.86397524 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |      15 | Bibwewadi                | Unity Ortho & Eyes Hospital                                                      | private hospital         | 18.4712384 | 73.85746393 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |      15 | Bibwewadi                | Mehta Nursing Home                                                               | private hospital         | 18.4991081 | 73.86918789 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |      15 | Bibwewadi                | Dugad Hospital                                                                   | private hospital         | 18.4910595 |  73.8581677 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |      15 | Bibwewadi                | Chintamani Hospital                                                              | private hospital         | 18.4757006 | 73.86208654 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |      15 | Bibwewadi                | Sahydri Hospital Ltd. Sahyadri Hospital, Bibvewadi                               | private hospital         | 18.4768711 |  73.8625507 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |      15 | Bibwewadi                | Dr. Bande Hospital                                                               | private hospital         | 18.4902514 |  73.8579388 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |      15 | Bibwewadi                | Rao Nursing Home                                                                 | private hospital         | 18.4846951 | 73.85879594 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |      15 | Bibwewadi                | Rukhmini Hospital                                                                | private hospital         | 18.4950028 | 73.86184672 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |      15 | Bibwewadi                | Kamla Nursing Home                                                               | private hospital         | 18.4892497 | 73.86224102 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |      15 | Bibwewadi                | Parasnis Hospital                                                                | private hospital         | 18.4746652 | 73.85874774 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |      15 | Bibwewadi                | Karne Hospital Pvt. Ltd. Orthopedic Nursing Home                                 | private hospital         | 18.4957009 | 73.85831637 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |      15 | Bibwewadi                | Dr. Bhagli Clinic                                                                | private hospital         | 18.4746388 | 73.85791895 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |      15 | Bibwewadi                | Dr. Bhagli Nursing Home                                                          | private hospital         | 18.4746086 | 73.85792077 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |      15 | Bibwewadi                | Ranka Medical Foundetion, Ranka Hospital                                         | private hospital         |  18.494933 | 73.86184047 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |      15 | Bibwewadi                | Sangam Hospital                                                                  | private hospital         | 18.4765191 | 73.85750876 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |       3 | Dhole Patil              | Kirad Hospital                                                                   | private hospital         | 18.5142545 | 73.86886318 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |       3 | Dhole Patil              | Renu Maternity & Nursing Home                                                    | private hospital         | 18.5156975 | 73.87092773 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |       3 | Dhole Patil              | N. M. Wadiya Institute of Cardiology Charitable Trust                            | private hospital         |  18.530461 |  73.8772286 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |       3 | Dhole Patil              | Grant Medical Foundetion Ruby Holl Clinic                                        | private hospital         | 18.5334009 | 73.87738058 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |       3 | Dhole Patil              | Jehangir Hospital                                                                | private hospital         | 18.5302176 | 73.87686631 |
|----------|---------|--------------------------|----------------------------------------------------------------------------------|--------------------------|------------|-------------|
| Pune     |       3 | Dhole Patil              | Dr. Gogate Eye Clinic                                                            | private hospital         | 18.5319958 | 73.87452667 |
