|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| City Name       | Zone Name         | Ward Name                             | Ward No.                     | Total no. of Households |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Sangamwadi        | Dhanori                               | Pune (M Corp.) WARD NO.-0001 |                   10452 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Sangamwadi        | Vidhyanagar Lohagaon                  | Pune (M Corp.) WARD NO.-0002 |                    5933 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Sangamwadi        | Tingre Pumping Station                | Pune (M Corp.) WARD NO.-0003 |                    5487 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Sangamwadi        | Kalas Vishrantwadi                    | Pune (M Corp.) WARD NO.-0004 |                    5906 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Sangamwadi        | Nanasaheb Parulekar Vidhyalaya        | Pune (M Corp.) WARD NO.-0005 |                    4242 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Sangamwadi        | Yerwada Prizen Press                  | Pune (M Corp.) WARD NO.-0006 |                    5241 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Yerwada/Nagarroad | Lohagaon Vimantal                     | Pune (M Corp.) WARD NO.-0007 |                    8764 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Yerwada/Nagarroad | Kharadigaon                           | Pune (M Corp.) WARD NO.-0008 |                    9598 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Yerwada/Nagarroad | Kharadi Infotech Park                 | Pune (M Corp.) WARD NO.-0009 |                    5953 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Yerwada/Nagarroad | Sundrabai Marathe Vidhyalaya          | Pune (M Corp.) WARD NO.-0010 |                    5850 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Yerwada/Nagarroad | Vadgaon Sheri                         | Pune (M Corp.) WARD NO.-0011 |                    7831 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Yerwada/Nagarroad | Ramwadi                               | Pune (M Corp.) WARD NO.-0012 |                    6250 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Yerwada/Nagarroad | Agakhan Pallace                       | Pune (M Corp.) WARD NO.-0013 |                    6493 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Yerwada/Nagarroad | Don Bosco  Highschool                 | Pune (M Corp.) WARD NO.-0014 |                    4361 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Yerwada/Nagarroad | NagpurChawl                           | Pune (M Corp.) WARD NO.-0015 |                    3944 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Sangamwadi        | PhuleNagar ,Yerwada                   | Pune (M Corp.) WARD NO.-0016 |                    3382 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Sangamwadi        | Netaji Subhashchandra Bose Vidhyalaya | Pune (M Corp.) WARD NO.-0017 |                    3330 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Sangamwadi        | Yerwadagaon                           | Pune (M Corp.) WARD NO.-0018 |                    3183 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Sangamwadi        | Parnkuti                              | Pune (M Corp.) WARD NO.-0019 |                    3607 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Sangamwadi        | YerwadaHotmix Plant                   | Pune (M Corp.) WARD NO.-0020 |                    3780 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Sangamwadi        | Deccon Collage                        | Pune (M Corp.) WARD NO.-0021 |                    3878 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Gholeroad         | Kamal Nayan Bajaj Udhyan              | Pune (M Corp.) WARD NO.-0022 |                    3837 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Gholeroad         | Setki Mahavidhyalaya                  | Pune (M Corp.) WARD NO.-0023 |                    3631 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Aundh             | Sanjay Gandhi Rugnalya                | Pune (M Corp.) WARD NO.-0024 |                    4283 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Aundh             | Bopodi                                | Pune (M Corp.) WARD NO.-0025 |                    3563 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Aundh             | Pune Vidhyapeeth                      | Pune (M Corp.) WARD NO.-0026 |                    3868 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Aundh             | AundhGaon                             | Pune (M Corp.) WARD NO.-0027 |                    4555 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Aundh             | Baner-Balewadi                        | Pune (M Corp.) WARD NO.-0028 |                    8142 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Aundh             | Sutarwadi                             | Pune (M Corp.) WARD NO.-0029 |                    6120 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Aundh             | Pashan                                | Pune (M Corp.) WARD NO.-0030 |                    6017 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Aundh             | Aundh I.T.I                           | Pune (M Corp.) WARD NO.-0031 |                    4158 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Aundh             | RajBhavan                             | Pune (M Corp.) WARD NO.-0032 |                    4326 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Gholeroad         | Chaturshingi Mandir                   | Pune (M Corp.) WARD NO.-0033 |                    4482 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Gholeroad         | Model Colony                          | Pune (M Corp.) WARD NO.-0034 |                    3541 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Gholeroad         | Morden Collage                        | Pune (M Corp.) WARD NO.-0035 |                    3477 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Gholeroad         | P.M.C Bhavan                          | Pune (M Corp.) WARD NO.-0036 |                    2574 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Dholepatilroad    | Dr.Nayadu Hospital                    | Pune (M Corp.) WARD NO.-0037 |                    3395 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Dholepatilroad    | Bundgarden                            | Pune (M Corp.) WARD NO.-0038 |                    3219 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Dholepatilroad    | Wadiya Collage                        | Pune (M Corp.) WARD NO.-0039 |                    3361 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Dholepatilroad    | Koregaon Park                         | Pune (M Corp.) WARD NO.-0040 |                    3611 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Dholepatilroad    | Mundhvagaon                           | Pune (M Corp.) WARD NO.-0041 |                    4483 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Hadapsar          | Magarpatta Hadapsar                   | Pune (M Corp.) WARD NO.-0042 |                   11017 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Hadapsar          | Hadapsar Indestrial Estate            | Pune (M Corp.) WARD NO.-0043 |                    6787 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Hadapsar          | Sent Patric Town                      | Pune (M Corp.) WARD NO.-0044 |                    6437 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Dholepatilroad    | Vikas Nagar Ghorpadi                  | Pune (M Corp.) WARD NO.-0045 |                    7107 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Dholepatilroad    | Dr.Babasaheb Ambedkar Udhyan          | Pune (M Corp.) WARD NO.-0046 |                    3194 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Dholepatilroad    | Sasoon Hospital                       | Pune (M Corp.) WARD NO.-0047 |                    3005 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Bhavanipeth       | Kamla Nehru Hospital                  | Pune (M Corp.) WARD NO.-0048 |                    3750 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Dholepatilroad    | Juna Bazar                            | Pune (M Corp.) WARD NO.-0049 |                    3833 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Kasbavishrambaug  | Kasba Ganpati                         | Pune (M Corp.) WARD NO.-0050 |                    3848 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Kasbavishrambaug  | Shanivarwada                          | Pune (M Corp.) WARD NO.-0051 |                    3780 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Kasbavishrambaug  | New English School(Ramanbaug)         | Pune (M Corp.) WARD NO.-0052 |                    3232 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Gholeroad         | Fergussion Collage                    | Pune (M Corp.) WARD NO.-0053 |                    3531 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Gholeroad         | Dr.Homi Baba Hospital                 | Pune (M Corp.) WARD NO.-0054 |                    3681 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
| Pune (M Corp.)  | Gholeroad         | Gokhlenagar                           | Pune (M Corp.) WARD NO.-0055 |                    3084 |
|-----------------|-------------------|---------------------------------------|------------------------------|-------------------------|
