|----------|--------------------------------------------|----------------------------------------------------------------------------------|------------|------------|
| CityName | Police Station Name                        | Address                                                                          | Latiutude  | Longitude  |
|----------|--------------------------------------------|----------------------------------------------------------------------------------|------------|------------|
| Pune     | Hadapsar Police Station                    | Sholapur Rd, Gadital, Hadapsar, Pune, Maharashtra 411028                         | 18.5004347 | 73.9395879 |
|----------|--------------------------------------------|----------------------------------------------------------------------------------|------------|------------|
| Pune     | Police Station                             | Hadapsar Rd, Tarawade Vasti, Undri, Pune, Maharashtra 411028                     | 18.4752589 |  73.924989 |
|----------|--------------------------------------------|----------------------------------------------------------------------------------|------------|------------|
| Pune     | Bibwewadi Police Station                   | Swami Vivekanand Rd, Upper Indira Nagar, Bibvewadi, Pune, Maharashtra 411037     | 18.4672524 | 73.8641823 |
|----------|--------------------------------------------|----------------------------------------------------------------------------------|------------|------------|
| Pune     | Center Of Police Research                  | Pashan Rd, Pashan, Pune, Maharashtra 411008                                      |   18.54072 |  73.822497 |
|----------|--------------------------------------------|----------------------------------------------------------------------------------|------------|------------|
| Pune     | Katraj Police Chowki                       | Katraj Chowk, Santosh Nagar, Pune, Maharashtra 411038                            | 18.4467405 | 73.8585979 |
|----------|--------------------------------------------|----------------------------------------------------------------------------------|------------|------------|
| Pune     | Warje Malwadi Police Chowki                | Giridhar Nagar, Warje, Pune, Maharashtra 411058                                  | 18.4804818 | 73.8009341 |
|----------|--------------------------------------------|----------------------------------------------------------------------------------|------------|------------|
| Pune     | Prabhat Police Chowky                      | Prabhat Rd, Deccan, Erandwana, Pune, Maharashtra 411004                          | 18.5144406 | 73.8332788 |
|----------|--------------------------------------------|----------------------------------------------------------------------------------|------------|------------|
| Pune     | Balgandharva Police Chowky                 | Jangali Maharaj Rd, Shivajinagar, Pune, Maharashtra 411004                       | 18.5219448 | 73.8475182 |
|----------|--------------------------------------------|----------------------------------------------------------------------------------|------------|------------|
| Pune     | Sahakar Nagar Police Station               | Sarve No.-2833,Parvati,Near Padmavati Temple, Pune, Maharashtra 411048           | 18.4645115 | 73.8872252 |
|----------|--------------------------------------------|----------------------------------------------------------------------------------|------------|------------|
| Pune     | Sinhgad Road Police Station                | Sun City Rd, Sun City, Daulat Nagar, Pune, Maharashtra 411051                    |  18.473053 | 73.8142409 |
|----------|--------------------------------------------|----------------------------------------------------------------------------------|------------|------------|
| Pune     | Ramoshi Gate Police Station                | Next To The Fule High School, Jawaharlal Nehru Rd, Bhawani Peth, Pune, Maharasht | 18.5109077 | 73.8682398 |
|----------|--------------------------------------------|----------------------------------------------------------------------------------|------------|------------|
| Pune     | Mangaldas Police Station                   | Bund Garden Rd, Sangamvadi, Pune, Maharashtra 411001                             | 18.5340392 | 73.8789242 |
|----------|--------------------------------------------|----------------------------------------------------------------------------------|------------|------------|
| Pune     | Tadiwala Police Station                    | Lumbini Nagar, Sangamvadi, Pune, Maharashtra 411001                              |  18.537371 |  73.873285 |
