imageurl,name,redirect,area,class,rateon99,rates,sold,Latitude,Longitude,ran
https://mediacdn.99acres.com/media1/14032/19/280659460M-1613059125924.jpg,Wakad,https://www.99acres.com/property-rates-and-price-trends-in-wakad-pune-prffid#registry-transaction-prt,West Pune,MID-SEGMENT,"₹7,300/ sq.ft","₹ 10,279 /sq.ft",3K+,18.6010921,73.7641245,MID-SEGMENT
https://mediacdn.99acres.com/media1/20387/0/407740488M-1676558323919.jpg,Kharadi,https://www.99acres.com/property-rates-and-price-trends-in-kharadi-pune-prffid#registry-transaction-prt,East Pune,PREMIUM,"₹9,450/ sq.ft","₹ 11,624 /sq.ft",2K+,18.5538241,73.9476689,PREMIUM
https://mediacdn.99acres.com/media1/15207/19/304159038M-1625210252870.jpg,Kiwale,https://www.99acres.com/property-rates-and-price-trends-in-kiwale-pune-prffid#registry-transaction-prt,West Pune,AFFORDABLE,"₹5,650/ sq.ft","₹ 7,765 /sq.ft",2K+,18.661162,73.728662,AFFORDABLE
https://mediacdn.99acres.com/media1/21499/2/429982560M-1687743907580.jpg,Wagholi,https://www.99acres.com/property-rates-and-price-trends-in-wagholi-pune-prffid#registry-transaction-prt,East Pune,MID-SEGMENT,"₹5,700/ sq.ft","₹ 8,159 /sq.ft",2K+,18.5807719,73.9787063,MID-SEGMENT
https://mediacdn.99acres.com/media1/20376/17/407537214M-1676474925601.jpg,Dhanori,https://www.99acres.com/property-rates-and-price-trends-in-dhanori-pune-prffid#registry-transaction-prt,North Pune,MID-SEGMENT,"₹6,350/ sq.ft","₹ 8,601 /sq.ft",2K+,18.5967587,73.896851,MID-SEGMENT
https://mediacdn.99acres.com/media1/20436/13/408733076M-1677072958407.jpg,Ravet,https://www.99acres.com/property-rates-and-price-trends-in-ravet-pune-prffid#registry-transaction-prt,West Pune,AFFORDABLE,"₹5,750/ sq.ft","₹ 8,098 /sq.ft",2K+,18.6606495,73.7321585,AFFORDABLE
https://mediacdn.99acres.com/media1/14930/14/298614946M-1622039340432.jpg,Moshi,https://www.99acres.com/property-rates-and-price-trends-in-moshi-pune-prffid#registry-transaction-prt,North Pune,MID-SEGMENT,"₹5,800/ sq.ft","₹ 6,837 /sq.ft",1K+,18.6793699,73.8491808,MID-SEGMENT
https://mediacdn.99acres.com/media1/20387/17/407757096M-1676569326923.jpg,Mahalunge,https://www.99acres.com/property-rates-and-price-trends-in-mahalunge-pune-prffid#registry-transaction-prt,West Pune,PREMIUM,"₹8,250/ sq.ft","₹ 10,419 /sq.ft",1K+,18.57382,73.7561594,PREMIUM
https://mediacdn.99acres.com/media1/15587/7/311747930M-1628618091680.jpg,Punawale,https://www.99acres.com/property-rates-and-price-trends-in-punawale-pune-prffid#registry-transaction-prt,West Pune,AFFORDABLE,"₹5,700/ sq.ft","₹ 8,452 /sq.ft",1K+,18.6309399,73.7378149,AFFORDABLE
https://mediacdn.99acres.com/media1/15321/5/306425428M-1626173780916.jpg,Baner,https://www.99acres.com/property-rates-and-price-trends-in-baner-pune-prffid#registry-transaction-prt,West Pune,MID-SEGMENT,"₹7,350/ sq.ft","₹ 11,508 /sq.ft",1K+,18.5642452,73.7768511,MID-SEGMENT
